Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
5701,El Paso Electric Co,9,Copper,TX,El Paso,1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,86.9,0.9,63,65,3,N, , ,OP,X,7,1980,12,2030,N,Electric Utility,1,X,NG,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,N
54888,NRG Texas Power LLC,298,Limestone,TX,Limestone,1,Conventional Steam Coal,ST,,S,X,X,LEG_LEG_G1,LEG_LEG_G1,893.0,0.94,824,824,300,N, , ,OP,X,12,1985, , ,N,IPP Non-CHP,2,X,SUB,NG,LIG,PC,,,NG,,,,N,N, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,Y,Y,N
54888,NRG Texas Power LLC,298,Limestone,TX,Limestone,2,Conventional Steam Coal,ST,,S,X,X,LEG_LEG_G2,LEG_LEG_G2,956.8,0.92,836,836,300,N, , ,OP,X,12,1986, , ,N,IPP Non-CHP,2,X,SUB,NG,LIG,PC,,,NG,,,,N,N, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,Y,Y,N
7751,Guadalupe Blanco River Authority,791,Canyon,TX,Comal,1,Conventional Hydroelectric,HY,,S,X,X,,,3.0,0.9,3,3,1,N, , ,OA,X,1,1989, , ,N,Electric Utility,1,X,WAT,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
7751,Guadalupe Blanco River Authority,791,Canyon,TX,Comal,2,Conventional Hydroelectric,HY,,S,X,X,,,3.0,0.9,3,3,1,N, , ,OA,X,1,1989, , ,N,Electric Utility,1,X,WAT,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
6958,City of Garland - (TX),794,Lewisville,TX,Denton,1,Conventional Hydroelectric,HY,,S,X,X,,,2.8,0.9,2,2,0.5,N, , ,OP,X,1,1992, , ,N,Electric Utility,1,X,WAT,,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
54683,Maverick Cty Water Control & Improvement,3437,Eagle Pass,TX,Maverick,1,Conventional Hydroelectric,HY,,S,X,X,,,3.2,1,2,2,0.1,N, , ,OP,X,8,1932, , ,N,IPP Non-CHP,2,X,WAT,,,,,,,,,,N,N,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
54683,Maverick Cty Water Control & Improvement,3437,Eagle Pass,TX,Maverick,2,Conventional Hydroelectric,HY,,S,X,X,,,3.2,1,2,2,0.1,N, , ,OP,X,8,1932, , ,N,IPP Non-CHP,2,X,WAT,,,,,,,,,,N,N,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
54683,Maverick Cty Water Control & Improvement,3437,Eagle Pass,TX,Maverick,3,Conventional Hydroelectric,HY,,S,X,X,,,3.2,1,2,2,0.1,N, , ,OP,X,8,1932, , ,N,IPP Non-CHP,2,X,WAT,,,,,,,,,,N,N,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
49979,"Talen Texas, LLC",3439,Laredo,TX,Webb,4,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,131.8,0.85,90.1,97.4,35,N, , ,OP,X,8,2008, , ,N,IPP Non-CHP,2,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
