Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Bifacial?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
65411,Duke Energy Renewables Services,57197,Blue Wing Solar Energy Generation,TX,Bexar,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,13.9,13.5,13.5,11,2010,,,,Y,,,,,,,,205,20,16.7,,Y,,,,,N, ,N, 
65411,Duke Energy Renewables Services,57659,East Blackland Solar Project 1,TX,Travis,PSF,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,144.0,144.0,144.0,7,2021,,Y,,,,,,,,,,180, ,186,Y,,,,,,N, ,N, 
57021,FRV AE Solar LLC,57699,Webberville Solar Project,TX,Travis,AES1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,30.0,30.0,30.0,12,2011,,Y,,,,,,,,,,180,0,35,Y,,,,,,N, ,N, 
57386,SunE CPS3 LLC,58009,SunE CPS3 LLC,TX,Bexar,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.6,5.6,5.6,5,2012,,Y,,,,,,,,,,180,45,6.5,Y,,,,,,N, ,N, 
57386,SunE CPS3 LLC,58009,SunE CPS3 LLC,TX,Bexar,2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,7,2012,,Y,,,,,,,,,,180,45,5.8,Y,,,,,,N, ,N, 
57389,IKEA Property Inc,58013,IKEA Round Rock 027,TX,Williamson,PV,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.4,1.3,1.3,9,2012,,,,Y,,,,,,,,180,12,1.6,Y,,,,,,Y,1.6,N, 
57403,SunE CPS2 LLC,58027,SunE CPS2 LLC,TX,Bexar,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,9.9,9.9,5,2012,,Y,,,,,,,,,,180,45,11.6,Y,,,,,,N, ,N, 
57419,SunE CPS1 LLC,58068,SunE CPS1 LLC,TX,Bexar,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,9.9,9.9,5,2012,,Y,,,,,,,,,,180,45,11.6,Y,,,,,,N, ,N, 
61944,MN8 Energy LLC,58488,"Bryan Solar, LLC",TX,Presidio,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,10.0,10.0,6,2013,,Y,,,,,,,,,,180,0,12.1,Y,,,,,,N, ,N, 
58489,OCI Solar Power,58537,OCI Alamo Solar I Hybrid,TX,Bexar,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,40.7,40.7,40.7,12,2013,,Y,N,,,,,,,,,0,0,56,Y,,,,,,N, ,N, 
50123,"Leeward Asset Management, LLC",58710,Barilla Solar,TX,Pecos,BRLA,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,30.2,30.2,30.2,6,2015,,,,Y,,,,,,,,180,20,37.6,,Y,,,,,N, ,N, 
58489,OCI Solar Power,58716,"OCI Alamo 2, LLC",TX,Bexar,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,4.4,4.4,4.4,3,2014,,,Y,,,,,,,,, , ,6.1,Y,,,,,,N, ,N, 
56769,Consolidated Edison Development Inc.,58717,"OCI Alamo 4, LLC",TX,Kinney,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,39.6,39.6,39.6,8,2014,,,Y,,,,,,,,, , ,49,Y,,,,,,N, ,N, 
56769,Consolidated Edison Development Inc.,59204,OCI Alamo 3 LLC,TX,Bexar,OCIA3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.5,5.5,5.5,1,2015,,,Y,,,,,,,,, , ,6.7,Y,,,,,,N, ,N, 
56769,Consolidated Edison Development Inc.,59205,OCI Alamo 5 LLC,TX,Uvalde,OCIA5,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,100.0,100.0,100.0,12,2015,,,Y,,,,,,,,, , ,127.7,Y,,,,,,N, ,N, 
59359,"BHE Renewables, LLC",59206,Alamo 6,TX,Pecos,OCIA6,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,105.0,116.0,116.0,3,2017,,,Y,,,,,,,,, , ,139.1,Y,,,,,,N, ,N, 
56769,Consolidated Edison Development Inc.,59207,OCI Alamo 7 LLC,TX,Haskell,OCIA7,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,100.0,100.0,100.0,8,2016,,,Y,,,,,,,,, , ,127.7,Y,,,,,,N, ,N, 
59180,Newman Solar LLC,59407,Newman Solar,TX,El Paso,NEW1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.5,10.3,10.3,12,2014,,Y,,,,,,,,,,90, ,13.1,Y,,,,,,N, ,N, 
17650,Southern Power Co,59994,RE Roserock,TX,Pecos,ROSEK,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,160.0,157.5,157.5,11,2016,,Y,,,,,,,,,,90, ,212.1,Y,,,,,,N, ,N, 
59777,"Buckthorn Westex, LLC",60044,Buckthorn Westex,TX,Pecos,BKTH1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,154.0,154.0,154.0,5,2018,,Y,,,,,,,,,,180, ,202,,Y,,,,,N, ,N, 
61123,Upton County Solar 2 LLC,60123,Castle Gap Solar Hybrid,TX,Upton,CGAP,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,180.0,180.0,180.0,5,2018,,Y,,,,,,,,,,0,60,234,Y,,,,,,N, ,N, 
