Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet)
2770,Terra-Gen Operating Co-Wind,54979,Big Spring Wind Power Facility,TX,Howard,WIND,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,34.3,34.3,34.3,12,1998,46,Vestas,V47-660,22.4,1,180.0
62136,Llano Estacado Wind Ranch,55579,Llano Estacado Wind Ranch,TX,Carson,EXIS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,80.0,80.0,80.0,12,2001,80,Mitsubishi,MWT-1000,18.3,1,213.2
6354,FPL Energy Upton Wind LP,55581,King Mountain Wind Ranch 1,TX,Upton,EXIS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,278.0,278.0,278.0,6,2001,214,Siemens,SWT-1.3-62,19.0,2,203.4
13866,NWP Indian Mesa Wind Farm LP,55747,NWP Indian Mesa Wind Farm,TX,Pecos,NWP2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,82.5,82.5,82.5,5,2001,125,Vestas,V47-660,22.4,1,164.0
14629,Pecos Wind II LP,55795,Woodward Mountain II,TX,Pecos,01,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,78.0,78.0,78.0,7,2001,117,Vestas,Vestas V-47,22.4,1,164.0
14628,Pecos Wind I LP,55796,Woodward Mountain I,TX,Pecos,01,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,82.0,82.0,82.0,7,2001,125,Vestas,Vestas V-47,22.4,1,164.0
19171,Trent Wind Farm LLC,55968,Trent Wind Farm,TX,Nolan,WTG1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,152.0,152.0,152.0,7,2001,100,GE,1.5 S,18.0,2,213.3
49796,Desert Sky Wind Farm LP,55992,Desert Sky,TX,Pecos,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,167.7,167.7,167.7,1,2002,107,GE,1.5 S,16.5,2,212.2
17058,Shell Wind Energy Inc.,56111,Brazos Wind Farm,TX,Scurry,GEN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,182.4,182.4,182.4,12,2003,38,Nordex,N155/4800,17.4,2,354.0
50123,"Leeward Asset Management, LLC",56211,Sweetwater Wind 1 LLC,TX,Nolan,SW1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,37.5,37.5,37.5,12,2003,25,GE,1.5 S,19.0,2,262.0
