Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,AFSB1,OP,Batteries,BA,Electric Utility,1,25,25,25,9,2021,100,25,25,LIB,,,,25,CS,PR,,,,,,Y,,,,,,,,Y,N, ,, ,, ,,N
54802,Dynegy -Moss Landing LLC,260,Dynegy Moss Landing Power Plant Hybrid,CA,Monterey,BAT1,OP,Batteries,BA,IPP Non-CHP,2,300,300,300,5,2021,1200,300,300,LIB,,,,98.4,BL,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,Y
54802,Dynegy -Moss Landing LLC,260,Dynegy Moss Landing Power Plant Hybrid,CA,Monterey,BAT2,OP,Batteries,BA,IPP Non-CHP,2,100,100,100,5,2021,400,100,100,LIB,,,,32.8,BL,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,Y
54802,Dynegy -Moss Landing LLC,260,Dynegy Moss Landing Power Plant Hybrid,CA,Monterey,BAT3,OP,Batteries,BA,IPP Non-CHP,2,350,350,350,6,2023,1400,350,350,LIB,,,,115,BL,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,Y
9216,Imperial Irrigation District,389,El Centro Hybrid,CA,Imperial,BESS,OP,Batteries,BA,Electric Utility,1,30,30,30,10,2016,20,30,30,LIB,,,,14.4,BL,,Y,PR,Y,,,,,Y,,,,,,Y,N, ,, ,, ,,Y
18454,Tampa Electric Co,645,Big Bend,FL,Hillsborough,BESS1,OP,Batteries,BA,Electric Utility,1,12.6,12.6,12.6,2,2017,25.2,12.6,12.6,LIB,,,,10,CS,Y,,,,,,Y,,,,PR,Y,,,,Y,645,1, ,, ,,N
11843,Maui Electric Co Ltd,792,Palaau Power Hybrid,HI,Maui,BAT1,OS,Batteries,BA,Electric Utility,1,2,2,2,5,2017,2,0.5,0.5,OTH,,,,2,CS,,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
9273,AES Indiana,990,Harding Street,IN,Marion,BAT1,OP,Batteries,BA,Electric Utility,1,20,20,20,6,2016,20,20,20,LIB,,,,20,BL,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
6235,Fayetteville Public Works Commission,1016,Butler-Warner Generation Plant,NC,Cumberland,11,OP,Batteries,BA,Electric Utility,1,0.5,0.5,0.5,9,2019,0.5,0.3,0.5,LIB,,,,0.6,CS,,,,,,Y,,PR,,,,,,,,N, ,, ,, ,,N
39006,Brookfield White Pine Hydro LLC,1482,Bonny Eagle,ME,York,BES1,OP,Batteries,BA,IPP Non-CHP,2,8,8,8,4,2023,16,8,8,LIB,,,,8.4,CS,PR,Y,Y,,,,,,Y,,,,,,Y,N,1482,1,1482,2,1482,3,N
