Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet)
63560,"Sand Point Generating, LLC",1,Sand Point,AK,Aleutians East,WT1,OS,Onshore Wind Turbine,WT,Electric Utility,1,0.5,0.1,0.1,10,2011,1,Vestas,V39-500,19,2,155
63560,"Sand Point Generating, LLC",1,Sand Point,AK,Aleutians East,WT2,OS,Onshore Wind Turbine,WT,Electric Utility,1,0.5,0.3,0.3,10,2011,1,Vestas,V39-500,19,2,155
13642,Nome Joint Utility Systems,90,Snake River,AK,Nome,EWT 1,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2013,1,EWT,DW54-900,20,2,164
13642,Nome Joint Utility Systems,90,Snake River,AK,Nome,EWT 2,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2013,1,EWT,DW54-900,20,2,164
10633,City of Lamar - (CO),508,Lamar Plant,CO,Prowers,T1-T3,OP,Onshore Wind Turbine,WT,Electric Utility,1,4.5,4,4,2,2004,3,GE,1.5 XLE,19,2,262.4
10633,City of Lamar - (CO),508,Lamar Plant,CO,Prowers,T4,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.5,1.5,1.5,2,2004,1,GE,1.5 XLE,19,2,262.4
62042,SRIV Partnership LLC,692,Medicine Bow,WY,Carbon,10,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,4.9,4.9,4.9,7,2000,7,Vestas,V47-660,18.8,2,164
62042,SRIV Partnership LLC,692,Medicine Bow,WY,Carbon,11,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.3,1.3,1.3,7,2000,2,Vestas,V42-600,18.8,2,164
7095,City of Geneseo - (IL),944,Geneseo,IL,Henry,10,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.5,1.5,1.5,9,2009,1,VENSYS,VENSYS77,18,2,200
7095,City of Geneseo - (IL),944,Geneseo,IL,Henry,11,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.5,1.5,1.5,10,2009,1,VENSYS,VENSYS77,18,2,200
14201,City of Osage - (IA),1172,Osage (IA),IA,Mitchell,W1,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.6,0.5,0.5,12,2009,1,GE,1.5 SLE,17.8,2,260
13048,City of Mountain Lake - (MN),1998,Mountain Lake,MN,Cottonwood,8,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.2,1.2,1.2,7,2007,1,Suzlon,S64-1250,15,2,246
20737,Willmar Municipal Utilities,2022,Willmar,MN,Kandiyohi,WTG3,OP,Onshore Wind Turbine,WT,Electric Utility,1,2,2,2,8,2009,1,DeWind,D8.2,14.7,2,262.4
20737,Willmar Municipal Utilities,2022,Willmar,MN,Kandiyohi,WTG4,OP,Onshore Wind Turbine,WT,Electric Utility,1,2,2,2,8,2009,1,DeWind,D8.2,14.7,2,262.4
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,10,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2002,1,NEG-Micon,NM52/900,19,2,240
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,11,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2002,1,NEG-Micon,NM52/900,19,2,240
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,12,OP,Onshore Wind Turbine,WT,Electric Utility,1,1,1,1,12,2003,1,NEG-Micon,NM54/950,19,2,240
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,13,OP,Onshore Wind Turbine,WT,Electric Utility,1,1,1,1,12,2003,1,NEG-Micon,NM54/950,19,2,240
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,8,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2002,1,NEG-Micon,NM52/900,19,2,240
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,9,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2002,1,NEG-Micon,NM52/900,19,2,240
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,11wt,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2005,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,13WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2006,1,Vestas,V15,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,14wt,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2002,1,Northern Power,Northwind 100,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,15WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2006,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,16WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2006,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,17WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2006,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,18WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,5,2012,1,EWT,DW54-900,13,2,250
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,19WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,5,2012,1,EWT,DW54-900,13,2,250
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,1WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.6,0.6,5,1999,10,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,2WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,1999,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,3WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.2,0.2,0.2,1,1997,3,AOC,AOC15/50,13,2,90
7601,Green Mountain Power Corp,7381,Searsburg Wind Turbine,VT,Bennington,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,6,5.2,5,6,1997,11,Zond,Z-40,18,1,132
15371,Town of Princeton - (MA),7501,Princeton Wind Farm,MA,Worcester,2,OP,Onshore Wind Turbine,WT,Electric Utility,1,3,3,3,1,2010,2,Fuhrlander,FL 1500-77,16,2,230
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,Solano,2,OP,Onshore Wind Turbine,WT,Electric Utility,1,24,24,24,6,2006,8,Vestas,V90-3.0,16.8,2,262.4
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,Solano,2B,OP,Onshore Wind Turbine,WT,Electric Utility,1,63,63,63,12,2007,21,Vestas,V90-3.0,16.8,2,262.4
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,Solano,3,OP,Onshore Wind Turbine,WT,Electric Utility,1,128,128,128,4,2012,55,Vestas,V90-1.8,16.8,2,262.4
58190,Bluestem LLC,7771,Springview,NE,Keya Paha,3,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.5,1.5,1.5,6,2011,1,VENSYS,VENSYS77,16,2,201.7
58190,Bluestem LLC,7771,Springview,NE,Keya Paha,4,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.5,1.5,1.5,6,2011,1,VENSYS,VENSYS77,16,2,201.7
12894,City of Moorhead - (MN),7855,Moorhead Wind Turbine,MN,Clay,8,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,5,1999,1,NEG-Micon,NM48/750,19,2,180
12894,City of Moorhead - (MN),7855,Moorhead Wind Turbine,MN,Clay,9,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,9,2001,1,NEG-Micon,NM48/750,19,2,180
11479,Madison Gas & Electric Co,7886,Wind Turbine,WI,Kewaunee,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,11,11,11,6,1999,17,Vestas,V47-660,18,3,213
18642,Tennessee Valley Authority,7927,Buffalo Mountain,TN,Anderson,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.7,0.7,10,2000,1,Vestas,V47-660,15.2,4,213
18642,Tennessee Valley Authority,7927,Buffalo Mountain,TN,Anderson,2,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.7,0.7,10,2000,1,Vestas,V47-660,15.2,4,213
18642,Tennessee Valley Authority,7927,Buffalo Mountain,TN,Anderson,3,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.7,0.7,10,2000,1,Vestas,V47-660,15.2,4,213
20160,Energy Northwest,7936,Nine Canyon,WA,Benton,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,95.9,95,95,9,2002,63,Siemens,SWT-1.3-62,14,4,200
11018,Lincoln Electric System,7965,Salt Valley Wind Plant,NE,Lancaster,G1,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.7,0.7,12,1998,1,Vestas,V47-660,17,3,213
11018,Lincoln Electric System,7965,Salt Valley Wind Plant,NE,Lancaster,G2,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.7,0.7,10,1999,1,Vestas,V47-660,17,3,213
309,City of Algona - (IA),7966,Iowa Distributed Wind Generation Project,IA,Kossuth,IDWG,OP,Onshore Wind Turbine,WT,Electric Utility,1,2.3,2.3,2.3,6,2000,3,Zond,Z-50,15.7,2,165
9397,International Turbine Res Inc,10005,Dinosaur Point,CA,Merced,WTGS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,17.4,17,16,5,1988,161,Vestas,V17-90,15.4,2,80
2719,CalWind Resources Inc,10191,Tehachapi Wind Resource I,CA,Kern,EXIS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,8.7,8.7,8.7,12,1984,134,Nordtank,NTK 65/13,17,1,80
2770,Terra-Gen Operating Co-Wind,10586,Cameron Ridge LLC,CA,Kern,EXIS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,59.6,59.6,59.6,12,1984,114,Micon,M700-225/40,22.4,1,180
2770,Terra-Gen Operating Co-Wind,10597,Ridgetop Energy LLC,CA,Kern,WGN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,29,29,29,1,1984,239,Nordtank,NTK 75/15,22.4,1,85
16630,San Gorgonio Farms Inc,10718,Karen Avenue Wind Farm,CA,Riverside,WND,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,11.7,11.7,11.7,1,1985,12,GE,1.5 S,21,1,185
11427,Massachusetts Wtr Rauth-Deer I,10823,Deer Island Treatment Plant,MA,Suffolk,WT101,OP,Onshore Wind Turbine,WT,Commercial CHP,5,0.6,0.6,0.6,11,2009,1,Vestas,PS-600,20.4,2,195
11427,Massachusetts Wtr Rauth-Deer I,10823,Deer Island Treatment Plant,MA,Suffolk,WT102,OP,Onshore Wind Turbine,WT,Commercial CHP,5,0.6,0.6,0.6,11,2009,1,Vestas,PS-600,20.4,2,195
16630,San Gorgonio Farms Inc,50281,San Gorgonio Farms Wind Farm,CA,Riverside,WGEN,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,31,31,31,3,1983,111,Vestas,V42-600,22,1,131
56899,Wind Stream Operations LLC,50532,Victory Garden (Tehachapi),CA,Kern,15SLE,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.5,1.5,1.5,5,2000,1,GE,1.5 S,19.5,2,210
56899,Wind Stream Operations LLC,50532,Victory Garden (Tehachapi),CA,Kern,WGNS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,24.6,17.3,17.3,12,1981,241,Vestas,V15,16.5,1,80
2770,Terra-Gen Operating Co-Wind,50533,Painted Hills Wind Park,CA,Riverside,PHW,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,46.8,46.8,46.8,4,2021,13,Vestas,V112-3.45,22,1,300.2
64156,Sky River Wind LLC,50536,Sky River Wind Energy Center,CA,Kern,SRW1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,60.2,60.2,60.2,9,2021,21,Siemens Gamesa,SG 2.9-129,23,1,300
66081,Salka Cabazon Wind LLC,50552,Salka Cabazon Wind,CA,Riverside,WGNS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,38.9,38.9,38.9,1,1999,52,Zond,Z-48,20,2,213
