州名,英文名,缩写
阿拉巴马州,Alabama,AL
阿拉斯加州,Alaska,AK
亚利桑那州,Arizona,AZ
阿肯色州,Arkansas,AR
加利福尼亚州,California,CA
科罗拉多州,Colorado,CO
康涅狄格州,Connecticut,CT
特拉华州,Delaware,DE
佛罗里达州,Florida,FL
乔治亚州,Georgia,GA
夏威夷州,Hawaii,HI
爱达荷州,Idaho,ID
伊利诺斯州,Illinois,IL
印第安纳州,Indiana,IN
爱荷华州,Iowa,IA
堪萨斯州,Kansas,KS
肯塔基州,Kentucky,KY
路易斯安那州,Louisiana,LA
缅因州,Maine,ME
马里兰州,Maryland,MD
马萨诸塞州,Massachusetts,MA
密歇根州,Michigan,MI
明尼苏达州,Minnesota,MN
密西西比州,Mississippi,MS
密苏里州,Missouri,MO
蒙大拿州,Montana,MT
内布拉斯加州,Nebraska,NE
内华达州,Nevada,NV
新罕布什尔州,New Hampshire,NH
新泽西州,New Jersey,NJ
新墨西哥州,New Mexico,NM
纽约州,New York,NY
北卡罗来纳州,North Carolina,NC
北达科他州,North Dakota,ND
俄亥俄州,Ohio,OH
俄克拉荷马州,Oklahoma,OK
俄勒冈州,Oregon,OR
宾夕法尼亚州,Pennsylvania,PA
罗得岛州,Rhode Island,RI
南卡罗来纳州,South Carolina,SC
南达科他州,South Dakota,SD
田纳西州,Tennessee,TN
得克萨斯州,Texas,TX
犹他州,Utah,UT
佛蒙特州,Vermont,VT
弗吉尼亚州,Virginia,VA
华盛顿州,Washington,WA
西弗吉尼亚州,West Virginia,WV
威斯康辛州,Wisconsin,WI
怀俄明州,Wyoming,WY
